No,Name,Category,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Reference
1,Ink Wash,Minimal,"minimal, monochrome, gray, newspaper",#2D2D2D,#5A5A5A,#8A8A8A,#F5F5F5,#1A1A1A,#D0D0D0,Monochromatic shades of gray for clean readability,Figma Resource Library
2,Neutral Elegance,Minimal,"neutral, beige, luxury, minimalism",#C4B7A6,#8B7355,#A69076,#F5F1ED,#3D3229,#E0D6CA,Muted beige gray brown for serene professional atmosphere,Figma Resource Library
3,Jade Pebble Morning,Minimal,"green, tranquility, nature, organic",#7A9E7E,#4A6B4E,#3D5A42,#F0F4F1,#2D3D30,#C8D4CA,Cool shades of green conveying tranquility,Figma Resource Library
4,Woodland,Minimal,"chartreuse, neutral, sustainability, outdoor",#C5D469,#8B8B6E,#6B6B4E,#F5F4F0,#3D3D30,#D8D6CE,Chartreuse pop against neutral backdrop,Figma Resource Library
5,Driftwood Pearl Morning,Minimal,"rose gold, brown, warmth, tranquility",#D4A49A,#7A5C4F,#3D5A6B,#E8E2DE,#3D332E,#D0C8C2,Rose gold and brown tones with depth,Figma Resource Library
6,Graphite,Minimal,"cool gray, green, wellness, skincare",#9AACA6,#7D8B86,#5A6B66,#F2F4F3,#3A4442,#D4DCDA,Cool gray green for gentle inviting atmosphere,Figma Resource Library
7,Urban Slate,Minimal,"foggy, cityscape, calm, professional",#7A8B9A,#5A6B7A,#4A5A6A,#F0F2F4,#2D3A42,#D0D6DC,Foggy cityscapes evoking calm sophistication,Figma Resource Library
8,Pearl,Minimal,"purple, wisdom, luxury, elegance",#C4B8D4,#8B7AA4,#6B5A8A,#F5F3F7,#3D3442,#DCD6E4,Purple accent for elegance and sophistication,Figma Resource Library
9,Vichy,Minimal,"classic, check, timeless, soft",#B8C4D0,#9AA8B8,#7A8A9A,#F5F7F9,#3A424A,#D4DCE4,Classic soft palette with gentle blues,Figma Resource Library
10,Sorbet,Minimal,"pastel, soft, light, airy",#E8D4D0,#D0B8B4,#B89A98,#FAF6F5,#4A3A38,#E8DAD8,Soft pastel tones for light airy feel,Figma Resource Library
11,Frozen Mist,Minimal,"icy, blue, fresh, clean",#C8D8E8,#A8C0D4,#88A8C0,#F5F8FA,#3A4A58,#D8E4EC,Icy blue tones for fresh clean aesthetic,Figma Resource Library
12,Yacht Club,Minimal,"nautical, navy, coastal, preppy",#2C3E50,#5D7A8C,#8BA4B8,#F4F6F7,#1A2830,#C8D4DC,Nautical tones for coastal elegance,Figma Resource Library
13,Amber Walnut Morning,Warm,"brown, earthy, luxury, comfort",#8B5A2B,#C49A6C,#D4B896,#F5EDE5,#3D2A1A,#E0D0C0,Warm earthy brown with excellent contrast,Figma Resource Library
